hashtags,tweets
#T-Shirt,8310
,
#Shirt,1552
,
#Kurtas,5
,
#Jeans,1267
,
#Trouser,92
,
#Blazzer,0
,
#Raincoat,45
,
#Men's Suit,1845
,
#Causual Shirts,0
,
#Formal Shirts,69
,
#Trackpant,28
,
#Pyjamas,82
,
#Loungepants,67
,
#Dhoti,10
,
#Ethnic Pyjama,0
,
#Women Tops,158
,
#Women dress,262
,
#Women Shirt,211
,
#Women Track Pants,0
,
#Nighsuit,0
,
#Jumpsuit,218
,
#Shapewear,91
,
#Bra,5
,
#Sports Bra,24
,
#Shape Bra,1
,
#Wedges,7
,
#Heels,0
,
#Causual Shoes,0
,
#Sports Shoes,78
,
#Sneakers,8286
,
#Walking Shoes,28
,
#Boots,21
,
#Ethnic Shoes,1
,
#ballerinas,24
,
#Slippers,83
,
#Flip Flops,4
,
#Flats,390
,
#Sandals,611
,
#Active Footwear,0
,
#Combo Footwear,0
,
#Floaters,50
,
#Shoe Care,1
,
#Watches,7009
,
#Sunglasses,2700
,
#Wallets,715
,
#Belts,113
,
#Jewellery,7159
,
#Precious Jewellery,2
,
#Precious Coins,0
,
#Precious Articles,0
,
#Frames,351
,
#Contact Lenses,15
,
#Kid accessories,8
,
#Bag,2696
,
#Backpacks,735
,
#Suitcases,47
,
#Trolley,101
,
#Dufflebag,61
,
#Rucksack,46
,
#Handbag,751
,
#Slingbag,87
,
#Cluthes ,0
,
#Messenger Bags,7
,
#Travel Bags,272
,
#Innerwear,81
,
#Infant Wear,1
,
#Trunks,474
,
#Briefs,0
,
#Boxers,12
,
#Lingerie Set,3
,
#Bra,9
,
#Panty,1
,
#Sarees,167
,
#Kanchivaram saree,0
,
#Women Kurta,25
,
#Salwar suits,2
,
#Shoulder Bag,28
,
#Fastrack,34
,
#Petticoats,0
,
#Shararas,2
,
#Leggings,33
,
#Gowns,121
,
#Blouse,512
,
#Designer Blouse,33
,
#Slips,17
,
#Swimsuit,124
,
#skirts,291
,
#Men shorts,72
,
#women shorts,222
